,Plot,perc.canopy.open,log.light,sla,mean.thick,ssl,lar1,lmf,smf,rmf,sp,Indiv,rgr.h,lma,new.rgr.h,Comp.1,Comp.2,Comp.3,log.mean.thick,log.ssl,log.lar1,log.lmf,log.smf,log.rmf,log.lma,scale.log.lma,log.rgr
1,101,2.86,0.352915541,136.59875,0.1725,12.41830065,74.33945578,0.544217687,0.208163265,0.247619048,KNEMFU,plant.1,0.182321557,0.007320711,1.182321557,0.48496099,0.125959843,-2.222177621,0.340029405,-1.330551554,-0.054934486,1.230361857,-1.52012392,-0.442662502,-4.917047796,2.162640808,0.090876163
2,101,2.86,0.352915541,214.1944444,0.183666667,27.23214286,64.09808811,0.29925187,0.341645885,0.359102244,DIOSXI,plant.2,0.125163143,0.004668655,1.125163143,0.48496099,0.125959843,-2.222177621,0.54911625,-0.397814909,-0.349336725,-0.032264614,-0.006369679,0.611654545,-5.366884221,0.56897887,-0.416694495
3,101,2.86,0.352915541,276.9444444,0.148666667,48.33333333,102.0321637,0.368421053,0.385964912,0.245614035,PSEUIN,plant.3,0.349557476,0.003610832,1.349557476,0.48496099,0.125959843,-2.222177621,-0.155611898,0.283686182,0.573973687,0.406738147,0.366290296,-0.465722419,-5.623816924,-0.341272061,1.446021
4,101,2.86,0.352915541,190.75,0.274,35.22727273,11.73846154,0.061538462,0.676923077,0.261538462,DIOSHA,plant.4,0.040821995,0.005242464,1.040821995,0.48496099,0.125959843,-2.222177621,1.882484517,-0.092033847,-3.720919854,-3.371372518,2.082791437,-0.287542655,-5.25096367,0.979657567,-1.214817806
5,101,2.86,0.352915541,249.5833333,0.2125,25,64.17857143,0.257142857,0.30952381,0.433333333,PITTKE,plant.5,0.171850257,0.004006678,1.171850257,0.48496099,0.125959843,-2.222177621,1.035187086,-0.499402973,-0.34684442,-0.352434673,-0.308049161,1.144605648,-5.519792861,0.027260764,-0.000247597
6,101,2.86,0.352915541,310.65,0.15,149.0909091,42.84827586,0.137931034,0.379310345,0.482758621,DERRTH,plant.6,0.133531393,0.003219057,1.133531393,0.48496099,0.125959843,-2.222177621,-0.125849439,1.621728989,-1.149258464,-1.667448762,0.313153325,1.450958835,-5.738666877,-0.748157039,-0.340793853
7,101,2.86,0.352915541,268.9,0.149,76.36363636,52.89836066,0.196721311,0.540983607,0.262295082,POMETO,plant.7,0.109484233,0.003718855,1.109484233,0.48496099,0.125959843,-2.222177621,-0.148146339,0.826994089,-0.730762059,-0.917903815,1.397889133,-0.279349048,-5.594339563,-0.236840007,-0.560435378
8,102,1.9,-0.495152872,255.927451,0.129333333,35.73170732,66.25532995,0.258883249,0.416243655,0.324873096,PARACH,plant.8,0.129211731,0.003907357,1.129211731,3.525751882,-1.343681615,0.991795209,-0.619996306,-0.075145048,-0.283592297,-0.338193871,0.597039719,0.32752988,-5.54489401,-0.061667024,-0.379903271
9,102,1.9,-0.495152872,180.8086957,0.314666667,14.60526316,69.31,0.383333333,0.38,0.236666667,CAPPFO,plant.9,0.131852131,0.005530707,1.131852131,3.525751882,-1.343681615,0.991795209,2.34377607,-1.13786852,-0.194069824,0.490506981,0.318703369,-0.570975687,-5.197439542,1.169280321,-0.355979843
10,102,1.9,-0.495152872,252.1222222,0.171333333,16.4375,120.839645,0.479289941,0.315581854,0.205128205,SAPRTE,plant.10,0.16034265,0.00396633,1.16034265,3.525751882,-1.343681615,0.991795209,0.317408256,-0.997483661,0.909983898,0.9621486,-0.248828084,-0.976623888,-5.529913979,-0.00859633,-0.101333453
