"","Plot","perc.canopy.open","log.light","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","lma","log.lma","log.lmf","new.rgr.h","log.rgr.h","log.mean.thick","log.ssl","log.lar1","log.smf","log.rmf","Comp.1","Comp.2","Comp.3"
"17",201,3.39,0.705458425,284.8138889,0.158,29.53125,128.3668232,0.450704225,0.300469484,0.248826291,"SAPRTE",0.15415068,0.003511065,-0.437346649,0.830817552,1.15415068,-0.155787232,0.048066126,-0.302984215,1.030388648,-0.397294225,-0.427150229,1.39039783504891,1.05908003431443,-0.207165998904121
"18",201,3.39,0.705458425,226.6875,0.164333333,30.52631579,99.7425,0.44,0.2375,0.3225,"SYZYLA",0.175890666,0.004411359,0.362017334,0.780100546,1.175890666,0.035152709,0.179175332,-0.263628712,0.529633349,-1.115273948,0.307695885,1.39039783504891,1.05908003431443,-0.207165998904121
"19",202,3.92,1.006684843,282.5861111,0.152666667,16.26582278,60.70197993,0.214808788,0.454027665,0.331163548,"PSEUIN",0.053345981,0.003538744,-0.409847275,-0.732820083,1.053345981,-1.090915975,-0.06648435,-1.011218299,-0.456029603,0.862984698,0.382808044,3.78135449725645,0.607194268386625,0.10160232051558
"20",202,3.92,1.006684843,327.6283333,0.1905,14.74522293,81.00700549,0.247252747,0.431318681,0.321428571,"CANATO",0.110000895,0.003052239,-0.927771216,-0.436022574,1.110000895,-0.554873406,0.672080373,-1.127772683,0.116691558,0.706336938,0.298266807,3.78135449725645,0.607194268386625,0.10160232051558
"21",202,3.92,1.006684843,302.725641,0.140666667,17.00729927,54.09530355,0.178694158,0.470790378,0.350515464,"SAPRTE",0.139761942,0.003303321,-0.650933063,-1.121211815,1.139761942,-0.284150289,-0.339578525,-0.958281535,-0.684731466,0.973667465,0.54372584,3.78135449725645,0.607194268386625,0.10160232051558
"22",202,3.92,1.006684843,575.75,0.1505,22.53968254,16.85121951,0.029268293,0.307317073,0.663414634,"PARACH",0.133531393,0.001736865,-2.902139979,-4.938549449,1.133531393,-0.34023707,-0.114167859,-0.623826316,-2.999606013,-0.328500404,2.351444481,3.78135449725645,0.607194268386625,0.10160232051558
"23",202,3.92,1.006684843,236.4785714,0.120333333,3.642773208,58.92112156,0.24916051,0.50721961,0.243619879,"PARACH",0.063851472,0.004228713,0.213937394,-0.41980469,1.063851472,-0.989373649,-0.860412336,-2.788173147,-0.515129201,1.201204518,-0.487065739,3.78135449725645,0.607194268386625,0.10160232051558
"24",202,3.92,1.006684843,394.1857143,0.117333333,40.83333333,34.87266983,0.088467615,0.132701422,0.778830964,"CHASCU",0.087011377,0.002536875,-1.575427149,-2.604619402,1.087011377,-0.769015367,-0.944634464,0.081840806,-1.556128576,-2.892270706,2.805910081,3.78135449725645,0.607194268386625,0.10160232051558
"25",203,2.6,0.155272682,193.3075,0.298,12.03703704,51.63472454,0.267111853,0.360601002,0.372287145,"AMOODU",0.167054085,0.005173105,0.919841333,-0.273012098,1.167054085,-0.042028726,2.164724325,-1.36876307,-0.777127963,0.159636152,0.714470434,3.81531910516588,0.490136658158553,0.431584774798259
"26",203,2.6,0.155272682,290.86,0.111333333,38.97435897,71.37668712,0.245398773,0.484662577,0.26993865,"PARACH",0.101782694,0.00343808,-0.510908663,-0.451903538,1.101782694,-0.63091035,-1.119739343,0.026507214,-0.134508338,1.062324038,-0.196396142,3.81531910516588,0.490136658158553,0.431584774798259
"27",203,2.6,0.155272682,196.3794118,0.224,25.76923077,41.2154321,0.209876543,0.561728395,0.228395062,"PITTKE",0,0.005092183,0.864628509,-0.781832692,1,-1.622688441,1.212484568,-0.464809008,-1.224456572,1.51282873,-0.669913791,3.81531910516588,0.490136658158553,0.431584774798259
"28",204,2.44,0.023566173,131.5828358,0.132666667,11.48484848,47.5900135,0.361673414,0.222672065,0.415654521,"MORIAN",0.223143551,0.007599775,2.266845134,0.36647214,1.223143551,0.438274797,-0.53490972,-1.424529997,-0.939027786,-1.312087604,1.026683803,2.50347713316116,0.284605683708588,-0.430533492903943
"29",204,2.44,0.023566173,195.65,0.138,17.41463415,34.02608696,0.173913043,0.416666667,0.40942029,"ARDIAF",0,0.005111168,0.877659957,-1.178435464,1,-1.622688441,-0.4034265,-0.930174292,-1.604905911,0.600826204,0.983864348,2.50347713316116,0.284605683708588,-0.430533492903943
"30",204,2.44,0.023566173,291.084375,0.123666667,17.90243902,91.68011811,0.31496063,0.431102362,0.253937008,"PARACH",0.074107972,0.00343543,-0.513609081,0.074672827,1.074107972,-0.891200754,-0.769260358,-0.897366975,0.362345179,0.704805427,-0.369543062,2.50347713316116,0.284605683708588,-0.430533492903943
"31",204,2.44,0.023566173,272.3666667,0.154333333,217.5,153.20625,0.5625,0.25,0.1875,"LINDME",0.251314428,0.003671521,-0.280856574,1.298349388,1.251314428,0.671259595,-0.030262986,2.068254684,1.381479058,-0.958679982,-1.22894496,2.50347713316116,0.284605683708588,-0.430533492903943
"32",204,2.44,0.023566173,267.875,0.135,95,27.47435897,0.102564103,0.564102564,0.333333333,"DERRTH",0,0.003733084,-0.222623798,-2.29265392,1,-1.622688441,-0.476747141,1.084581505,-2.029395234,1.525704806,0.401312178,2.50347713316116,0.284605683708588,-0.430533492903943
"33",204,2.44,0.023566173,191.4027778,0.155666667,15.55084746,84.21722222,0.44,0.282222222,0.277777778,"ARDIAF",0.105360516,0.005224585,0.954518168,0.780100546,1.105360516,-0.597737938,-0.001566423,-1.064599839,0.193826898,-0.588563541,-0.115284176,2.50347713316116,0.284605683708588,-0.430533492903943
"34",204,2.44,0.023566173,247.0622807,0.156666667,10.07317073,105.94511,0.428819444,0.355902778,0.215277778,"SAPRTE",0.360002734,0.004047562,0.060612686,0.725791924,1.360002734,1.523501159,0.019795153,-1.580280793,0.649372493,0.119598751,-0.8375049,2.50347713316116,0.284605683708588,-0.430533492903943
"35",204,2.44,0.023566173,366.4,0.128,129.2857143,61.06666667,0.166666667,0.388888889,0.444444444,"DERRTH",0.051293294,0.002729258,-1.3194479,-1.268235943,1.051293294,-1.110874736,-0.654368438,1.450522338,-0.444141189,0.39019697,1.216440746,2.50347713316116,0.284605683708588,-0.430533492903943
"36",204,2.44,0.023566173,222.44,0.196666667,47.20930233,75.58640777,0.339805825,0.417475728,0.242718447,"PARACH",0.048790164,0.004495594,0.428256482,0.234877626,1.048790164,-1.135266075,0.778357402,0.254144967,-0.020771296,0.606748442,-0.497569348,2.50347713316116,0.284605683708588,-0.430533492903943
"37",301,2.54,0.10685771,166.1434783,0.373,19.61538462,38.72939189,0.233108108,0.439189189,0.327702703,"CAPPFO",0.113328685,0.006018894,1.450140866,-0.560319615,1.113328685,-0.524243833,2.913595928,-0.788852013,-1.347936385,0.761542942,0.353041242,0.162163168435467,1.8162237010143,-0.543238428940193
"38",301,2.54,0.10685771,347.1875,0.135,110,123.4444444,0.355555556,0.333333333,0.311111111,"PSEUIN",0.182321557,0.002880288,-1.130831407,0.330475404,1.182321557,0.090958315,-0.476747141,1.258680361,0.952783004,-0.080411644,0.205825333,0.162163168435467,1.8162237010143,-0.543238428940193
"39",301,2.54,0.10685771,343.94,0.1425,69.64285714,47.76944444,0.138888889,0.388888889,0.472222222,"PARACH",0.083381609,0.002907484,-1.097921078,-1.652933108,1.083381609,-0.803239262,-0.296381332,0.7158513,-0.931558618,0.39019697,1.388216696,0.162163168435467,1.8162237010143,-0.543238428940193
"40",301,2.54,0.10685771,190.4571429,0.315,30.11904762,70.47753304,0.370044053,0.370044053,0.259911894,"CAPPFO",0.076961041,0.005250525,0.971862532,0.414749673,1.076961041,-0.86405845,2.349800272,-0.279579093,-0.159669796,0.238553867,-0.303647358,0.162163168435467,1.8162237010143,-0.543238428940193
"41",301,2.54,0.10685771,431.7833333,0.223,70.43478261,116.6981982,0.27027027,0.310810811,0.418918919,"SALAAU",0.111225635,0.002315976,-1.894459585,-0.248209211,1.111225635,-0.543590016,1.197558571,0.729279004,0.841239237,-0.293989129,1.048849637,0.162163168435467,1.8162237010143,-0.543238428940193
"42",301,2.54,0.10685771,248.6916667,0.126,35.54054054,47.36984127,0.19047619,0.391534392,0.417989418,"PARACH",0.036367644,0.004021043,0.037593106,-0.986485671,1.036367644,-1.257183126,-0.706904246,-0.083020384,-0.948231463,0.410894764,1.042555801,0.162163168435467,1.8162237010143,-0.543238428940193
"43",301,2.54,0.10685771,338.9233333,0.188,24.96350365,44.01601732,0.12987013,0.296536797,0.573593074,"CELAMO",0.028170877,0.00295052,-1.04646611,-1.794596551,1.028170877,-1.338430705,0.628011636,-0.502533021,-1.093976735,-0.437515996,1.939236379,0.162163168435467,1.8162237010143,-0.543238428940193
"44",301,2.54,0.10685771,379.7666667,0.1905,88.57142857,108.5047619,0.285714286,0.333333333,0.380952381,"PSEUIN",0,0.002633196,-1.444927111,-0.130957227,1,-1.622688441,0.672080373,1.001372818,0.696754545,-0.080411644,0.779664753,0.162163168435467,1.8162237010143,-0.543238428940193
"45",301,2.54,0.10685771,490.75,0.159666667,111.4285714,140.2142857,0.285714286,0.428571429,0.285714286,"PSEUIN",0.133531393,0.002037697,-2.342745454,-0.130957227,1.133531393,-0.34023707,0.083071221,1.27400379,1.205603098,0.68682944,-0.035463816,0.162163168435467,1.8162237010143,-0.543238428940193
"46",302,3.48,0.759793773,581.9833333,0.165666667,56.75,226.3268519,0.388888889,0.37037037,0.240740741,"COLOTH",0.313657559,0.001718262,-2.939849764,0.51955641,1.313657559,1.168744675,0.206132689,0.472730877,2.155922997,0.241244843,-0.520751173,1.92792191415189,2.45346339987272,0.0519323041698532
"47",302,3.48,0.759793773,270.1833333,0.156666667,47.85714286,138.2333333,0.511627907,0.244186047,0.244186047,"PLATLA",0.09531018,0.003701191,-0.252671403,1.098335752,1.09531018,-0.691196065,0.019795153,0.270330583,1.177362364,-1.030516544,-0.480488536,1.92792191415189,2.45346339987272,0.0519323041698532
"48",302,3.48,0.759793773,290.6,0.120333333,36.22222222,112.0226757,0.385487528,0.204081633,0.410430839,"LITSSA",0.223143551,0.003441156,-0.50777688,0.501020483,1.223143551,0.438274797,-0.860412336,-0.060458405,0.760082801,-1.578240723,0.990849341,1.92792191415189,2.45346339987272,0.0519323041698532
"49",302,3.48,0.759793773,267.4888889,0.117,31.97916667,154.5231218,0.577680525,0.210065646,0.212253829,"LITSSA",0.693147181,0.003738473,-0.217572519,1.354538194,1.693147181,3.765345865,-0.954125096,-0.208412983,1.398466004,-1.49001152,-0.877587576,1.92792191415189,2.45346339987272,0.0519323041698532
"50",302,3.48,0.759793773,292.1694444,0.136666667,21.38297872,85.8939124,0.293986637,0.418708241,0.287305122,"PARACH",0.146603474,0.003422671,-0.526638903,-0.070733807,1.146603474,-0.222915596,-0.435814666,-0.686389033,0.232953511,0.61574827,-0.019731208,1.92792191415189,2.45346339987272,0.0519323041698532
"51",302,3.48,0.759793773,342.75,0.202,147.7777778,85.6875,0.25,0.375,0.375,"PARACH",0.064538521,0.002917578,-1.085783704,-0.412707499,1.064538521,-0.982767853,0.867619045,1.60927969,0.228178176,0.279169716,0.735042801,1.92792191415189,2.45346339987272,0.0519323041698532
"52",303,1.5,-0.985347664,202.9818182,0.198,10.09411765,66.40297398,0.327137546,0.394981413,0.277881041,"SAPRTE",0.120627988,0.00492655,0.748827066,0.154711324,1.120627988,-0.457379164,0.800897723,-1.577813877,-0.277866523,0.437654615,-0.11423105,2.95007098499338,1.62672402814664,-0.6927080943331
"53",303,1.5,-0.985347664,337.3666667,0.259666667,28.60465116,87.37553957,0.258992806,0.154676259,0.586330935,"RHYNOB",0.287682072,0.002964134,-1.030344757,-0.338141692,1.287682072,0.964397046,1.705380923,-0.340842922,0.266897715,-2.424464833,2.001470385,2.95007098499338,1.62672402814664,-0.6927080943331
"54",303,1.5,-0.985347664,385.3777778,0.215,116.1538462,150.8,0.391304348,0.282608696,0.326086957,"PARACH",0.30538165,0.002594856,-1.496290217,0.532621423,1.30538165,1.104080505,1.075683652,1.323324853,1.350059113,-0.58438576,0.339036365,2.95007098499338,1.62672402814664,-0.6927080943331
"55",303,1.5,-0.985347664,242.8181818,0.141333333,20.36809816,6.669163546,0.027465668,0.040699126,0.931835206,"STERBR",0,0.004118308,0.121292507,-5.072677435,1,-1.622688441,-0.32380566,-0.744134044,-4.839337298,-6.500493421,3.314120581,2.95007098499338,1.62672402814664,-0.6927080943331
"56",303,1.5,-0.985347664,327.053125,0.161,28.71428571,125.7896635,0.384615385,0.336538462,0.278846154,"SAPRTE",0.15415068,0.003057607,-0.921617559,0.496241336,1.15415068,-0.155787232,0.110813209,-0.336300039,0.990136122,-0.051196943,-0.104407251,2.95007098499338,1.62672402814664,-0.6927080943331
"57",303,1.5,-0.985347664,646.9666667,0.1325,71.36363636,123.231746,0.19047619,0.349206349,0.46031746,"LITSSA",0.182321557,0.001545675,-3.310539933,-0.986485671,1.182321557,0.090958315,-0.539103253,0.744837364,0.949360253,0.061609916,1.315869734,2.95007098499338,1.62672402814664,-0.6927080943331
"58",303,1.5,-0.985347664,350.7074074,0.167333333,19.79591837,106.9954802,0.305084746,0.319426336,0.375488918,"MYCEGR",0.105360516,0.00285138,-1.16615647,0.007452564,1.105360516,-0.597737938,0.23952591,-0.777972178,0.668953076,-0.210515507,0.738734574,2.95007098499338,1.62672402814664,-0.6927080943331
"59",304,1.54,-0.930773976,249.2555556,0.263666667,52.05882353,65.97941176,0.264705882,0.25,0.485294118,"PITTKE",0,0.004011947,0.029661732,-0.29210366,1,-1.622688441,1.756377405,0.370267512,-0.290567192,-0.958679982,1.465584927,2.17012358202656,0.706917830436198,-2.75567950951729
"60",304,1.54,-0.930773976,209.2478261,0.26,23.53333333,33.81288056,0.161592506,0.351288056,0.487119438,"PITTKE",0,0.004779022,0.642358056,-1.333472782,1,-1.622688441,1.709660533,-0.572594926,-1.617381485,0.079755069,1.476222239,2.17012358202656,0.706917830436198,-2.75567950951729
"61",304,1.54,-0.930773976,303.3333333,0.245,110,63.85964912,0.210526316,0.263157895,0.526315789,"PITTKE",0.064538521,0.003296703,-0.65795581,-0.775310298,1.064538521,-0.982767853,1.511426684,1.258680361,-0.355379662,-0.802086017,1.695507606,2.17012358202656,0.706917830436198,-2.75567950951729
"62",304,1.54,-0.930773976,270.6921569,0.181,12.5,78.88742857,0.291428571,0.4,0.308571429,"SAPRTE",0.055569851,0.003694233,-0.25926023,-0.089173827,1.055569851,-1.069336596,0.501429058,-1.323944569,0.064068099,0.476200206,0.182600323,2.17012358202656,0.706917830436198,-2.75567950951729
"63",304,1.54,-0.930773976,307.4947368,0.167333333,22.6,140.357958,0.456456456,0.3003003,0.243243243,"SAPRTE",0.139761942,0.003252088,-0.705671984,0.857576491,1.139761942,-0.284150289,0.23952591,-0.620652612,1.207635765,-0.399013692,-0.491449615,2.17012358202656,0.706917830436198,-2.75567950951729
